L4 | Tue Mar 16 06:15:04 2021 (835 ms) | general | exiting: calling SDL_CloseAudio

L4 | Tue Mar 16 06:15:04 2021 (871 ms) | general | exiting: Deleting sceneHandler

L4 | Tue Mar 16 06:15:04 2021 (871 ms) | general | Freeing sound sprites

L4 | Tue Mar 16 06:15:04 2021 (871 ms) | general | exiting: freeing frameDrawer

L4 | Tue Mar 16 06:15:04 2021 (918 ms) | general | exiting: Deleting screen

L4 | Tue Mar 16 06:15:04 2021 (918 ms) | general | exiting: freeing drawString

L4 | Tue Mar 16 06:15:04 2021 (918 ms) | general | exiting: calling SDL_Quit()

L4 | Tue Mar 16 06:15:05 2021 (54 ms) | general | exiting: Done.

L4 | Fri Mar 26 05:30:39 2021 (851 ms) | general | New game starting up
L4 | Fri Mar 26 05:30:39 2021 (851 ms) | general | Target game image size:  1280x720

L4 | Fri Mar 26 05:30:39 2021 (851 ms) | general | Ideal window dimensions:  1280x720

L4 | Fri Mar 26 05:30:39 2021 (851 ms) | general | Trying to start in fullscreen mode.
L4 | Fri Mar 26 05:30:39 2021 (851 ms) | general | The following frame rates are considered possible:
L4 | Fri Mar 26 05:30:39 2021 (851 ms) | general | 30 fps
L4 | Fri Mar 26 05:30:39 2021 (851 ms) | general | 60 fps
L4 | Fri Mar 26 05:30:39 2021 (851 ms) | general | 100 fps
L4 | Fri Mar 26 05:30:39 2021 (851 ms) | general | 120 fps
L4 | Fri Mar 26 05:30:39 2021 (851 ms) | general | 144 fps
L4 | Fri Mar 26 05:30:39 2021 (852 ms) | general | Setting real (not borderless) fullscreen mode
L4 | Fri Mar 26 05:30:39 2021 (852 ms) | general | Current screen configuration is 1920x1080 with aspect ratio 1.77
L4 | Fri Mar 26 05:30:39 2021 (852 ms) | general | Sticking with user's current screen resolution
L4 | Fri Mar 26 05:30:39 2021 (852 ms) | general | Checking if requested video mode (1920x1080) is available
L4 | Fri Mar 26 05:30:39 2021 (852 ms) | general | Available video modes:
L5 | Fri Mar 26 05:30:39 2021 (852 ms) | general |    1920 x 1080

L4 | Fri Mar 26 05:30:39 2021 (852 ms) | general |    ^^^^ this mode matches current aspect ratio
L4 | Fri Mar 26 05:30:39 2021 (852 ms) | general |    ^^^^ this mode matches requested mode
L5 | Fri Mar 26 05:30:39 2021 (852 ms) | general |    1680 x 1050

L5 | Fri Mar 26 05:30:39 2021 (852 ms) | general |    1600 x 900

L4 | Fri Mar 26 05:30:39 2021 (852 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Fri Mar 26 05:30:39 2021 (852 ms) | general |    1440 x 900

L5 | Fri Mar 26 05:30:39 2021 (852 ms) | general |    1366 x 768

L4 | Fri Mar 26 05:30:39 2021 (852 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Fri Mar 26 05:30:39 2021 (852 ms) | general |    1280 x 1024

L5 | Fri Mar 26 05:30:39 2021 (852 ms) | general |    1280 x 800

L5 | Fri Mar 26 05:30:39 2021 (852 ms) | general |    1280 x 720

L4 | Fri Mar 26 05:30:39 2021 (852 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Fri Mar 26 05:30:39 2021 (852 ms) | general |    1024 x 768

L5 | Fri Mar 26 05:30:39 2021 (852 ms) | general |    800 x 600

L5 | Fri Mar 26 05:30:39 2021 (852 ms) | general |    720 x 576

L5 | Fri Mar 26 05:30:39 2021 (852 ms) | general |    720 x 480

L5 | Fri Mar 26 05:30:39 2021 (852 ms) | general |    640 x 480

L4 | Fri Mar 26 05:30:40 2021 (70 ms) | general | Successfully opened audio: 44100Hz (requested 44100Hz), sample buffer size=512 (requested 1024)

L4 | Fri Mar 26 05:30:40 2021 (131 ms) | general | Recording game into file recordedGames/recordedGame000024.txt
L4 | Fri Mar 26 05:30:40 2021 (131 ms) | general | Only keeping 20 past recordings
L4 | Fri Mar 26 05:30:40 2021 (131 ms) | general | Removed 1 stale recordings
L4 | Fri Mar 26 05:30:40 2021 (168 ms) | general | OneLife client v363 (binV=361, dataV=363) starting up
L2 | Fri Mar 26 05:30:40 2021 (335 ms) | general | xclip must be installed for clipboard to work
L4 | Fri Mar 26 06:16:50 2021 (492 ms) | general | exiting...

L4 | Fri Mar 26 06:16:50 2021 (492 ms) | general | exiting: calling SDL_CloseAudio

L4 | Fri Mar 26 06:16:50 2021 (527 ms) | general | exiting: Deleting sceneHandler

L4 | Fri Mar 26 06:16:50 2021 (527 ms) | general | Freeing sound sprites

L4 | Fri Mar 26 06:16:50 2021 (527 ms) | general | exiting: freeing frameDrawer

L4 | Fri Mar 26 06:16:50 2021 (577 ms) | general | exiting: Deleting screen

L4 | Fri Mar 26 06:16:50 2021 (577 ms) | general | exiting: freeing drawString

L4 | Fri Mar 26 06:16:50 2021 (577 ms) | general | exiting: calling SDL_Quit()

L4 | Fri Mar 26 06:16:50 2021 (668 ms) | general | exiting: Done.

L4 | Wed Aug  4 00:21:44 2021 (737 ms) | general | New game starting up
L4 | Wed Aug  4 00:21:44 2021 (737 ms) | general | Target game image size:  1280x720

L4 | Wed Aug  4 00:21:44 2021 (738 ms) | general | Ideal window dimensions:  1280x720

L4 | Wed Aug  4 00:21:44 2021 (738 ms) | general | Trying to start in fullscreen mode.
L4 | Wed Aug  4 00:21:44 2021 (738 ms) | general | The following frame rates are considered possible:
L4 | Wed Aug  4 00:21:44 2021 (738 ms) | general | 30 fps
L4 | Wed Aug  4 00:21:44 2021 (738 ms) | general | 60 fps
L4 | Wed Aug  4 00:21:44 2021 (738 ms) | general | 100 fps
L4 | Wed Aug  4 00:21:44 2021 (738 ms) | general | 120 fps
L4 | Wed Aug  4 00:21:44 2021 (738 ms) | general | 144 fps
L4 | Wed Aug  4 00:21:44 2021 (740 ms) | general | Setting real (not borderless) fullscreen mode
L4 | Wed Aug  4 00:21:44 2021 (740 ms) | general | Current screen configuration is 1920x1080 with aspect ratio 1.77
L4 | Wed Aug  4 00:21:44 2021 (740 ms) | general | Sticking with user's current screen resolution
L4 | Wed Aug  4 00:21:44 2021 (740 ms) | general | Checking if requested video mode (1920x1080) is available
L4 | Wed Aug  4 00:21:44 2021 (740 ms) | general | Available video modes:
L5 | Wed Aug  4 00:21:44 2021 (740 ms) | general |    1920 x 1080

L4 | Wed Aug  4 00:21:44 2021 (740 ms) | general |    ^^^^ this mode matches current aspect ratio
L4 | Wed Aug  4 00:21:44 2021 (740 ms) | general |    ^^^^ this mode matches requested mode
L5 | Wed Aug  4 00:21:44 2021 (740 ms) | general |    1680 x 1050

L5 | Wed Aug  4 00:21:44 2021 (740 ms) | general |    1600 x 900

L4 | Wed Aug  4 00:21:44 2021 (740 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Wed Aug  4 00:21:44 2021 (740 ms) | general |    1440 x 900

L5 | Wed Aug  4 00:21:44 2021 (740 ms) | general |    1366 x 768

L4 | Wed Aug  4 00:21:44 2021 (740 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Wed Aug  4 00:21:44 2021 (740 ms) | general |    1280 x 1024

L5 | Wed Aug  4 00:21:44 2021 (740 ms) | general |    1280 x 800

